mes,dia,hora,Ir_total,Ir_difusa,Temperatura
3,30,17,138,118,11.32
3,30,18,4,4,10.63
3,31,7,184,54,3.8
3,31,8,384,94,5.79
3,31,9,581,100,7.68
3,31,10,734,114,9.57
3,31,11,846,98,11.6
3,31,12,906,61,12.9
3,31,13,866,98,14.02
3,31,14,767,122,14.86
3,31,15,624,122,15.16
3,31,16,445,101,14.7
3,31,17,245,69,13.65
3,31,18,46,25,12.61
4,1,7,169,69,-0.95
4,1,8,373,103,4.66
4,1,9,565,115,6.85
4,1,10,713,133,7.89
4,1,11,699,303,8.83
4,1,12,628,396,10.14
4,1,13,460,396,10.86
4,1,14,531,359,11.35
4,1,15,256,247,10.89
4,1,16,135,135,10.84
4,1,17,122,111,8.99
4,1,18,6,6,8.76
4,2,7,99,88,4.64
4,2,8,355,133,4.95
4,2,9,438,262,6.33
4,2,10,137,137,8
4,2,11,246,246,8.83
4,2,12,539,418,9.73
4,2,13,638,377,10.7
4,2,14,574,343,11.32
4,2,15,333,292,11.56
4,2,16,291,220,11.3
4,2,17,121,111,10.3
4,2,18,38,28,9.2
4,3,7,180,71,2.77
4,3,8,390,94,5.25
4,3,9,554,152,7.48
4,3,10,559,326,9.16
4,3,11,757,247,10.24
4,3,12,621,406,11.28
4,3,13,659,367,12.34
4,3,14,317,306,12.92
4,3,15,623,119,13.09
4,3,16,441,107,12.81
4,3,17,177,124,12.14
4,3,18,39,30,10.58
4,4,7,77,75,2.18
4,4,8,151,148,5.38
4,4,9,116,116,7.11
4,4,10,277,272,7.89
4,4,11,421,379,8.8
4,4,12,377,360,9.07
4,4,13,228,228,9.7
4,4,14,502,371,11.5
4,4,15,518,258,12.14
4,4,16,327,218,11.76
4,4,17,234,91,10.86
4,4,18,50,30,9.86
4,5,7,180,84,1.07
4,5,8,401,95,3.35
4,5,9,583,122,5.02
4,5,10,546,340,6.68
4,5,11,684,340,8.22
4,5,12,721,349,9.46
4,5,13,541,413,10.42
4,5,14,291,285,10.87
4,5,15,322,289,9.96
4,5,16,228,207,8.55
4,5,17,136,120,7.23
4,5,18,41,32,5.82
4,6,6,16,13,3.78
4,6,7,79,77,4.66
4,6,8,193,179,6.5
4,6,9,249,240,7.95
4,6,10,435,358,9.4
4,6,11,359,344,10.64
4,6,12,154,154,11.61
4,6,13,375,357,11.94
4,6,14,420,364,11.82
4,6,15,153,153,11.03
4,6,16,63,63,9.38
4,6,17,99,97,8.79
4,6,18,59,29,9.13
4,7,6,22,15,4.4
4,7,7,118,102,4.99
4,7,8,292,202,5.08
4,7,9,413,289,6.02
4,7,10,442,361,7.57
4,7,11,361,346,8.12
4,7,12,275,274,9.76
4,7,13,519,416,10.5
4,7,14,634,318,11.08
4,7,15,537,253,10.83
4,7,16,290,227,10.39
4,7,17,49,49,10.07
4,7,18,49,35,9.69
4,8,6,22,17,2.94
4,8,7,42,42,4.05
4,8,8,179,172,6.19
4,8,9,323,283,7.72
4,8,10,404,352,9.05
4,8,11,548,411,10.43
4,8,12,631,417,11.54
4,8,13,781,267,12.23
4,8,14,478,378,12.78
4,8,15,283,269,13.23
4,8,16,92,92,13.51
4,8,17,269,62,13.29
4,8,18,65,32,12.66
4,9,6,4,4,5.35
4,9,7,107,99,6.59
4,9,8,271,210,8.27
4,9,9,600,130,9.76
4,9,10,601,323,11.17
4,9,11,396,369,12.17
4,9,12,253,253,12.83
4,9,13,279,278,13.54
4,9,14,421,367,13.86
4,9,15,288,273,14.07
4,9,16,79,79,14.36
4,9,17,146,128,14.17
4,9,18,7,7,13.37
4,10,6,25,21,6.57
4,10,7,139,113,8.25
4,10,8,228,201,9.1
4,10,9,112,112,10.14
4,10,10,196,196,11.13
4,10,11,453,399,12.24
4,10,12,288,287,13.54
4,10,13,731,334,14.15
4,10,14,723,232,15.26
4,10,15,542,260,15.38
4,10,16,439,147,15.45
4,10,17,269,73,15.23
4,10,18,67,35,14.75
4,11,6,25,22,6.82
4,11,7,156,118,7.94
4,11,8,425,109,9.21
4,11,9,530,237,10.56
4,11,10,633,307,12.27
4,11,11,277,276,13.61
4,11,12,157,157,14.51
4,11,13,744,326,15.66
4,11,14,773,161,16.13
4,11,15,496,296,16.21
4,11,16,358,221,15.96
4,11,17,148,130,15.07
4,11,18,56,41,14.11
4,12,6,18,18,6.03
4,12,7,63,63,7.61
4,12,8,151,150,10.27
4,12,9,490,274,11.86
4,12,10,414,361,12.96
4,12,11,425,388,13.75
4,12,12,400,379,14.07
4,12,13,375,359,14.63
4,12,14,107,107,14.85
4,12,15,58,58,14.83
4,12,16,99,99,14.07
4,12,17,141,127,13.99
4,12,18,76,35,13.46
4,13,6,12,12,6.84
4,13,7,130,115,8.36
4,13,8,435,111,9.98
4,13,9,541,236,11.44
4,13,10,512,375,12.4
4,13,11,566,420,13.36
4,13,12,586,438,14.32
4,13,13,583,424,15.5
4,13,14,119,119,15.93
4,13,15,363,312,15.93
4,13,16,317,236,15.8
4,13,17,252,108,15.67
4,13,18,60,44,14.66
4,14,6,50,28,3.4
4,14,7,240,77,6.44
4,14,8,425,133,10.4
4,14,9,617,144,12.35
4,14,10,703,247,14.13
4,14,11,861,160,15.49
4,14,12,789,320,16.58
4,14,13,652,405,17.16
4,14,14,580,372,17.16
4,14,15,450,320,17.18
4,14,16,245,221,17.38
4,14,17,204,140,17.09
4,14,18,65,46,16.16
4,15,6,56,28,6.37
4,15,7,244,80,8.26
4,15,8,447,108,11.58
4,15,9,635,120,13.85
4,15,10,783,129,15.71
4,15,11,874,142,16.91
4,15,12,911,144,17.85
4,15,13,760,325,18.43
4,15,14,729,247,18.57
4,15,15,265,258,18.75
4,15,16,433,175,18.66
4,15,17,267,100,18.49
4,15,18,21,21,17.71
4,16,6,58,30,6.31
4,16,7,254,74,8.51
4,16,8,459,96,13.06
4,16,9,643,114,15.54
4,16,10,702,260,17.52
4,16,11,878,142,18.83
4,16,12,865,229,19.7
4,16,13,820,253,20.32
4,16,14,801,138,20.52
4,16,15,644,159,20.4
4,16,16,347,237,20.19
4,16,17,183,145,18.93
4,16,18,72,47,16.16
4,17,6,62,32,7.57
4,17,7,253,82,9.51
4,17,8,335,222,13.21
4,17,9,640,126,15.42
4,17,10,787,138,17.34
4,17,11,882,143,18.33
4,17,12,853,252,18.95
4,17,13,775,316,19.6
4,17,14,349,333,19.74
4,17,15,74,74,20.15
4,17,16,195,190,19.8
4,17,17,113,111,17.7
4,17,18,38,37,15.92
4,18,6,67,33,7.99
4,18,7,262,77,9.57
4,18,8,466,101,12.56
4,18,9,652,115,15
4,18,10,795,129,16.82
4,18,11,890,133,18.19
4,18,12,821,300,19.19
4,18,13,691,394,19.67
4,18,14,462,387,19.62
4,18,15,617,207,19.85
4,18,16,489,113,19.52
4,18,17,290,84,19.25
4,18,18,82,49,18.21
4,19,6,72,34,7.85
4,19,7,265,79,10.02
4,19,8,473,97,13.31
4,19,9,656,115,15.37
4,19,10,799,130,17.03
4,19,11,894,134,18.31
4,19,12,929,135,19
4,19,13,882,170,19.7
4,19,14,801,154,20.1
4,19,15,692,87,20.25
4,19,16,515,71,20.13
4,19,17,296,80,19.84
4,19,18,91,45,19.17
4,20,6,66,41,8.4
4,20,7,216,130,10.53
4,20,8,383,209,13.57
4,20,9,628,169,15.19
4,20,10,771,183,17.02
4,20,11,887,152,18.53
4,20,12,927,144,19.67
4,20,13,642,424,20.36
4,20,14,851,61,20.85
4,20,15,476,324,21
4,20,16,481,135,20.9
4,20,17,222,147,20.3
4,20,18,88,50,18.83
4,21,6,74,41,8.73
4,21,7,271,85,10.06
4,21,8,472,115,13.88
4,21,9,657,128,15.56
4,21,10,797,146,16.98
4,21,11,891,153,18.32
4,21,12,925,154,19.44
4,21,13,849,235,20.27
4,21,14,824,121,20.8
4,21,15,592,249,20.89
4,21,16,314,247,20.83
4,21,17,311,65,20.33
4,21,18,85,54,19.17
4,22,6,84,38,7.83
4,22,7,279,82,10.39
4,22,8,481,107,14.68
4,22,9,664,121,16.96
4,22,10,805,138,18.76
4,22,11,899,143,20.21
4,22,12,933,145,21.27
4,22,13,915,124,22.03
4,22,14,818,138,22.5
4,22,15,683,123,22.63
4,22,16,484,140,22.5
4,22,17,290,101,22.21
4,22,18,93,52,21.33
4,23,6,86,41,9.09
4,23,7,280,87,11.26
4,23,8,483,112,15.3
4,23,9,668,121,17.36
4,23,10,809,138,18.97
4,23,11,902,143,20.26
4,23,12,936,145,21.27
4,23,13,918,124,22.06
4,23,14,821,139,22.58
4,23,15,659,167,22.88
4,23,16,517,90,22.85
4,23,17,291,104,22.55
4,23,18,99,51,21.77
4,24,6,84,47,9.61
4,24,7,272,103,11.93
4,24,8,468,141,15.69
4,24,9,665,135,17.49
4,24,10,812,138,19.28
4,24,11,905,143,20.9
4,24,12,929,165,22.16
4,24,13,906,153,22.96
4,24,14,788,200,23.4
4,24,15,677,143,23.63
4,24,16,514,100,23.51
4,24,17,289,110,23.15
4,24,18,93,57,22.41
4,25,6,14,14,10.73
4,25,7,31,31,12.01
4,25,8,60,60,14.48
4,25,9,256,251,15.52
4,25,10,145,145,16.37
4,25,11,87,87,16.8
4,25,12,180,180,16.52
4,25,13,177,177,16.9
4,25,14,244,244,16.59
4,25,15,174,174,14.28
4,25,16,164,164,13.29
4,25,17,201,157,13.03
4,25,18,41,41,12.53
4,26,6,25,25,9.36
4,26,7,54,54,10.07
4,26,8,85,85,10.27
4,26,9,105,105,10.47
4,26,10,92,92,10.9
4,26,11,410,387,11.62
4,26,12,551,453,11.98
4,26,13,172,172,12.89
4,26,14,161,161,13.75
4,26,15,436,338,14.57
4,26,16,461,183,14.37
4,26,17,310,92,14.02
4,26,18,70,60,13.4
4,27,6,103,44,8.03
4,27,7,303,80,9.07
4,27,8,455,174,10.8
4,27,9,617,224,12.11
4,27,10,697,314,13.01
4,27,11,825,286,14.55
4,27,12,772,383,15.05
4,27,13,729,389,15.7
4,27,14,768,241,16.16
4,27,15,587,272,16.85
4,27,16,152,152,16.31
4,27,17,318,85,14.88
4,27,18,104,59,13.43
4,28,6,36,36,8.23
4,28,7,139,132,9.52
4,28,8,210,203,10.57
4,28,9,369,322,11.71
4,28,10,553,400,12.76
4,28,11,787,334,13.48
4,28,12,847,308,14.82
4,28,13,826,294,15.7
4,28,14,220,220,16.56
4,28,15,135,135,16.02
4,28,16,446,205,14.92
4,28,17,58,58,14.91
4,28,18,34,34,13.33
4,29,6,114,43,7.78
4,29,7,309,83,9.3
4,29,8,517,95,11.09
4,29,9,693,115,12.67
4,29,10,465,395,13.76
4,29,11,715,400,14.57
4,29,12,735,416,15.46
4,29,13,293,292,15.94
4,29,14,434,386,16.61
4,29,15,243,241,16.89
4,29,16,164,164,16.92
4,29,17,195,161,16.48
4,29,18,128,44,15.86
4,30,6,98,59,8.5
4,30,7,261,140,9.94
4,30,8,358,251,10.78
4,30,9,581,275,12.39
4,30,10,485,401,13.14
4,30,11,109,109,13.35
4,30,12,353,348,14.11
4,30,13,685,423,14.27
4,30,14,843,131,14.31
4,30,15,715,102,14.38
4,30,16,502,147,11.63
4,30,17,176,155,11.46
4,30,18,69,62,11.29
5,1,6,47,46,9.21
5,1,7,156,143,9.04
5,1,8,410,227,12.83
5,1,9,605,245,15.45
5,1,10,769,231,17.1
5,1,11,868,224,18.63
5,1,12,878,260,19.39
5,1,13,871,225,20.82
5,1,14,819,160,21.27
5,1,15,698,122,21.73
5,1,16,523,107,21.94
5,1,17,271,146,21.61
5,1,18,112,65,20.63
5,2,6,120,56,10.88
5,2,7,313,102,12.9
5,2,8,448,208,15.2
5,2,9,640,220,17.26
5,2,10,847,125,19.23
5,2,11,959,85,21.03
5,2,12,987,95,22.57
5,2,13,952,106,23.69
5,2,14,858,116,24.43
5,2,15,712,120,24.77
5,2,16,470,196,24.73
5,2,17,307,123,24.28
5,2,18,129,59,23.17
5,3,6,123,58,10.14
5,3,7,318,102,13.94
5,3,8,512,137,17.29
5,3,9,688,160,19.71
5,3,10,863,106,21.79
5,3,11,966,84,23.58
5,3,12,989,105,25.1
5,3,13,939,146,26.22
5,3,14,855,133,27.01
5,3,15,707,141,27.46
5,3,16,530,125,27.58
5,3,17,328,104,27.38
5,3,18,135,57,26.8
5,4,6,121,59,13.76
5,4,7,90,90,17.2
5,4,8,171,170,20.29
5,4,9,125,125,22.48
5,4,10,116,116,24.15
5,4,11,118,118,25.91
5,4,12,153,153,27.58
5,4,13,443,408,28.98
5,4,14,269,268,28.91
5,4,15,701,129,28.07
5,4,16,525,117,27.73
5,4,17,270,153,26.59
5,4,18,42,42,25.2
5,5,6,143,48,12.15
5,5,7,316,122,13.97
5,5,8,518,155,15.9
5,5,9,712,153,17.66
5,5,10,843,182,19.09
5,5,11,932,192,20.15
5,5,12,648,475,21.06
5,5,13,976,112,21.72
5,5,14,833,206,22.16
5,5,15,730,132,22.53
5,5,16,558,102,22.59
5,5,17,345,98,22.09
5,5,18,150,51,21.05
5,6,6,92,74,9.47
5,6,7,243,170,12.49
5,6,8,520,151,15.71
5,6,9,701,166,18.05
5,6,10,672,377,19.68
5,6,11,944,164,20.88
5,6,12,1002,114,21.93
5,6,13,962,135,22.91
5,6,14,877,123,23.67
5,6,15,719,147,23.99
5,6,16,551,115,24
5,6,17,343,102,23.71
5,6,18,149,53,23.07
5,7,6,67,63,13.73
5,7,7,311,118,15.73
5,7,8,193,190,18.38
5,7,9,634,231,20.25
5,7,10,742,286,22.23
5,7,11,786,349,23.92
5,7,12,384,373,25.29
5,7,13,451,414,26.39
5,7,14,570,407,26.86
5,7,15,208,208,26.82
5,7,16,382,260,26.56
5,7,17,305,133,26.07
5,7,18,87,74,24.9
5,8,6,143,54,12.65
5,8,7,335,95,14.86
5,8,8,538,106,16.81
5,8,9,721,107,18.75
5,8,10,867,98,20.93
5,8,11,972,68,22.72
5,8,12,990,95,24.33
5,8,13,935,147,25.53
5,8,14,816,200,26.46
5,8,15,657,218,26.76
5,8,16,493,184,26.6
5,8,17,268,164,25.38
5,8,18,143,62,22.42
5,9,6,146,58,13.15
5,9,7,292,149,15.2
5,9,8,281,251,17.01
5,9,9,557,320,18.53
5,9,10,735,315,19.5
5,9,11,443,412,20.13
5,9,12,739,435,21.02
5,9,13,752,399,21.37
5,9,14,780,267,21.96
5,9,15,592,299,21.59
5,9,16,503,181,21.18
5,9,17,274,167,20.23
5,9,18,151,60,19.1
5,10,6,142,65,10.11
5,10,7,355,83,11.04
5,10,8,559,94,12.19
5,10,9,738,104,13.77
5,10,10,881,105,15.47
5,10,11,967,115,16.15
5,10,12,671,468,16.67
5,10,13,846,314,17.03
5,10,14,861,151,17.88
5,10,15,728,135,17.99
5,10,16,556,110,18.23
5,10,17,342,111,17.89
5,10,18,158,56,16.98
5,11,6,145,64,10.42
5,11,7,226,176,11.25
5,11,8,104,104,12.17
5,11,9,726,121,13.07
5,11,10,829,193,14.43
5,11,11,742,407,16.36
5,11,12,510,451,16.73
5,11,13,208,208,17.28
5,11,14,532,418,17.11
5,11,15,672,215,18.05
5,11,16,470,220,18.04
5,11,17,202,173,17.59
5,11,18,32,32,16.58
5,12,6,60,59,10.53
5,12,7,130,128,12.27
5,12,8,130,130,13.1
5,12,9,140,140,13.96
5,12,10,136,136,14.74
5,12,11,246,246,15.19
5,12,12,185,185,15.04
5,12,13,242,242,13.51
5,12,14,174,174,13.12
5,12,15,143,143,12.69
5,12,16,85,85,12.29
5,12,17,50,50,11.76
5,12,18,53,53,11.19
5,13,6,100,82,8.72
5,13,7,166,155,10.17
5,13,8,438,245,11.36
5,13,9,463,354,12.61
5,13,10,574,416,14.17
5,13,11,833,327,15.24
5,13,12,934,231,16.05
5,13,13,250,250,17.11
5,13,14,540,421,16.63
5,13,15,276,271,17.08
5,13,16,404,267,17.13
5,13,17,152,146,16.69
5,13,18,91,80,16.01
5,14,6,17,17,9.88
5,14,7,69,69,9.7
5,14,8,109,109,9.73
5,14,9,103,103,9.71
5,14,10,240,240,10.04
5,14,11,335,332,11.64
5,14,12,523,457,13.11
5,14,13,782,380,14.53
5,14,14,539,420,15.37
5,14,15,299,289,15.86
5,14,16,210,206,16.17
5,14,17,107,107,15.85
5,14,18,65,64,15.23
5,15,6,97,83,9.19
5,15,7,329,130,10.73
5,15,8,385,269,11.92
5,15,9,608,287,13.07
5,15,10,371,354,14.4
5,15,11,722,421,16.05
5,15,12,464,429,16.45
5,15,13,174,174,16.84
5,15,14,101,101,17.45
5,15,15,65,65,17.85
5,15,16,183,182,18.23
5,15,17,179,164,16.59
5,15,18,148,78,14.2
5,16,6,81,75,10.59
5,16,7,215,178,11.29
5,16,8,561,102,12.75
5,16,9,688,194,14.45
5,16,10,874,117,15.67
5,16,11,850,301,16.63
5,16,12,935,224,17.33
5,16,13,755,401,17.77
5,16,14,492,413,18.08
5,16,15,446,356,18.33
5,16,16,110,110,18.67
5,16,17,236,183,18.42
5,16,18,72,69,17.56
5,17,6,172,55,9.88
5,17,7,368,91,11.81
5,17,8,571,101,13.55
5,17,9,754,97,15.14
5,17,10,905,76,16.7
5,17,11,1000,63,18.21
5,17,12,1013,104,19.62
5,17,13,967,136,20.55
5,17,14,904,86,21.44
5,17,15,755,105,21.54
5,17,16,576,100,21.79
5,17,17,370,98,21.82
5,17,18,169,67,21.43
5,18,6,175,55,9.21
5,18,7,373,88,13.26
5,18,8,568,111,16.27
5,18,9,754,105,18.49
5,18,10,899,95,20.35
5,18,11,1004,63,22
5,18,12,1036,61,23.35
5,18,13,987,104,24.37
5,18,14,903,95,25.07
5,18,15,751,121,25.51
5,18,16,574,112,25.51
5,18,17,369,104,25.13
5,18,18,177,62,24.22
5,19,6,175,59,11.36
5,19,7,372,91,15.15
5,19,8,569,111,17.99
5,19,9,754,104,20.12
5,19,10,895,105,21.98
5,19,11,975,126,23.57
5,19,12,1017,104,24.91
5,19,13,982,115,25.98
5,19,14,904,95,26.67
5,19,15,744,136,27.07
5,19,16,563,133,27.14
5,19,17,369,107,26.79
5,19,18,54,54,25.51
5,20,6,180,59,12.61
5,20,7,381,87,17.07
5,20,8,577,110,19.99
5,20,9,768,95,22.32
5,20,10,923,66,24.19
5,20,11,1001,91,25.75
5,20,12,1039,79,27.18
5,20,13,1009,80,28.24
5,20,14,905,113,28.92
5,20,15,761,119,29.22
5,20,16,587,105,29.21
5,20,17,382,97,28.88
5,20,18,184,62,28.05
5,21,6,181,57,13.79
5,21,7,369,101,17.71
5,21,8,559,133,20.74
5,21,9,748,121,23.1
5,21,10,900,95,25.15
5,21,11,975,125,26.9
5,21,12,1012,115,28.23
5,21,13,977,125,29.14
5,21,14,881,143,29.72
5,21,15,745,135,30.01
5,21,16,569,129,29.99
5,21,17,376,102,29.64
5,21,18,158,87,28.82
5,21,19,10,9,26.64
5,22,6,166,71,16.14
5,22,7,358,108,19.32
5,22,8,555,125,22.22
5,22,9,730,130,24.49
5,22,10,871,127,26.61
5,22,11,964,118,28.19
5,22,12,995,118,29.33
5,22,13,966,118,30.24
5,22,14,880,117,30.8
5,22,15,736,130,31.02
5,22,16,565,120,30.95
5,22,17,362,116,30.55
5,22,18,171,75,29.77
5,22,19,8,8,27.48
5,23,5,3,3,15.33
5,23,6,164,78,15.96
5,23,7,357,116,19.89
5,23,8,549,144,22.7
5,23,9,741,121,24.88
5,23,10,874,135,26.52
5,23,11,972,117,28.11
5,23,12,998,127,29.31
5,23,13,964,137,30.15
5,23,14,884,126,30.7
5,23,15,736,144,30.89
5,23,16,565,129,31.03
5,23,17,369,112,30.34
5,23,18,184,67,29.61
5,23,19,12,11,28.23
5,24,5,7,7,16.59
5,24,6,168,71,17
5,24,7,360,107,18.73
5,24,8,543,139,20.6
5,24,9,727,131,22.48
5,24,10,862,137,24.35
5,24,11,948,139,26.13
5,24,12,979,140,27.79
5,24,13,941,159,29.17
5,24,14,700,359,30.14
5,24,15,480,359,30.78
5,24,16,551,140,30.81
5,24,17,386,81,30.73
5,24,18,67,66,30.1
5,24,19,11,11,28.41
5,25,5,2,2,17.57
5,25,6,165,76,17.87
5,25,7,349,123,19.6
5,25,8,548,136,21.29
5,25,9,736,117,23.22
5,25,10,858,145,25.21
5,25,11,954,129,27.03
5,25,12,980,140,28.34
5,25,13,947,149,29.43
5,25,14,803,245,29.99
5,25,15,598,309,30.18
5,25,16,77,77,29.82
5,25,17,324,159,28.64
5,25,18,59,59,26.25
5,25,19,3,3,21.52
5,26,5,3,3,15.84
5,26,6,49,49,16.38
5,26,7,74,74,16.83
5,26,8,106,106,17.94
5,26,9,617,281,19.65
5,26,10,544,418,21.03
5,26,11,438,409,22.48
5,26,12,748,430,23.64
5,26,13,661,449,25.07
5,26,14,566,419,25.81
5,26,15,710,173,26.57
5,26,16,556,137,26.8
5,26,17,348,136,26.02
5,26,18,151,94,24.93
5,26,19,21,16,24.05
5,27,5,9,9,15.36
5,27,6,178,70,15.75
5,27,7,373,100,18.47
5,27,8,560,129,20.39
5,27,9,735,137,22.07
5,27,10,875,135,23.73
5,27,11,967,127,25.31
5,27,12,998,127,26.65
5,27,13,970,127,27.72
5,27,14,886,126,28.43
5,27,15,748,130,28.82
5,27,16,435,270,28.78
5,27,17,198,179,28.41
5,27,18,197,61,27.68
5,27,19,25,18,26.36
5,28,5,11,10,14.32
5,28,6,184,67,14.88
5,28,7,379,99,17.61
5,28,8,577,112,19.1
5,28,9,748,129,20.87
5,28,10,885,134,22.62
5,28,11,983,115,24.31
5,28,12,1009,126,25.72
5,28,13,976,136,26.8
5,28,14,891,134,27.59
5,28,15,753,136,27.99
5,28,16,582,124,28.08
5,28,17,385,111,27.8
5,28,18,195,69,27.17
5,28,19,27,19,26.03
5,29,5,12,11,14.61
5,29,6,185,69,15.28
5,29,7,383,99,18.19
5,29,8,576,123,19.96
5,29,9,749,135,21.98
5,29,10,886,142,24.01
5,29,11,979,136,25.89
5,29,12,1010,136,27.53
5,29,13,983,136,28.41
5,29,14,893,143,29.25
5,29,15,759,136,29.63
5,29,16,584,129,29.66
5,29,17,387,113,29.34
5,29,18,203,64,28.77
5,29,19,33,18,27.92
5,30,5,11,11,16.4
5,30,6,181,71,16.69
5,30,7,380,97,18.96
5,30,8,571,119,20.75
5,30,9,747,121,22.84
5,30,10,884,125,25.02
5,30,11,967,137,27.12
5,30,12,1003,127,28.96
5,30,13,976,127,30.17
5,30,14,882,144,30.66
5,30,15,729,172,30.9
5,30,16,574,136,30.9
5,30,17,385,111,30.49
5,30,18,175,92,29.91
5,30,19,30,20,28.07
5,31,5,15,13,17.38
5,31,6,182,71,17.9
5,31,7,338,148,19.73
5,31,8,486,226,21.56
5,31,9,550,342,23.36
5,31,10,234,234,25.17
5,31,11,896,253,26.96
5,31,12,983,159,28.57
5,31,13,957,158,29.66
5,31,14,629,414,30.36
5,31,15,67,67,30.54
5,31,16,91,91,27.95
5,31,17,35,35,26.45
5,31,18,24,24,24.94
5,31,19,20,18,23.44
6,1,5,18,15,8.38
6,1,6,182,74,6.87
6,1,7,218,186,5.37
6,1,8,353,280,12.76
6,1,9,338,318,14.09
6,1,10,535,424,15.34
6,1,11,572,462,16.64
6,1,12,195,195,17.28
6,1,13,524,453,18.03
6,1,14,530,426,18.52
6,1,15,624,305,18.8
6,1,16,78,78,19
6,1,17,235,195,18.78
6,1,18,76,75,18.13
6,1,19,29,22,16.97
6,2,5,17,15,10.26
6,2,6,146,97,10.55
6,2,7,172,163,12.67
6,2,8,438,263,14.37
6,2,9,725,160,15.77
6,2,10,768,301,16.81
6,2,11,532,455,18.03
6,2,12,708,463,19.13
6,2,13,865,306,19.84
6,2,14,795,280,20.06
6,2,15,733,168,20.32
